SiteCode,SiteName,Latitude,Longitude,IGBPCode
UK-DkF,Dyke-FIRE,58.431141,-3.9702661,WET
UK-EBu,Easter Bush,55.866,-3.205777778,GRA
UK-Ech,Elchies,57.505657,-3.3087757,WET
UK-EHd,East Hendred Control,51.583199,-1.322469,CRO
UK-ESa,East Saltoun,55.9069444,-2.85861111,CRO
UK-GaB,Garry Bog,55.10994,-6.529928,WET
UK-Gnn,Glenullin,54.96185,-6.760763,WET
UK-Gri,Griffin,56.6072222,-3.79805556,ENF
UK-Gst,Girlsta,60.230296,-1.240111,WET
UK-GtF,Great Fen,52.470689,-0.192668,GRA
UK-Gwr,Glenwherry,54.85464,-5.988278,WET
UK-Ham,Hampshire,51.153533,-0.8583,DBF
UK-Har,Harwood,55.21272222,-2.037527777,ENF
UK-Her,Hertfordshire,51.78379822,-0.47608,CRO
UK-LBT,London_BT,51.5215,-0.1389,URB
UK-Lns,Lonielist,58.391024,-3.765051,WET
UK-MrH,Moor House,54.695035,-2.388234,WET
UK-Myg,Myerscough,53.854618,-2.779574,GRA
UK-PL1,Pang/Lambourne crop,51.53329849,-1.483330011,CRO
UK-PL2,Pang/Lambourne grassland,51.43330002,-1.233330011,GRA
